evalation,price,maint,doors,persons,lug_boot,safety
総合評価,買価,メンテ費用,ドア数,定員,トランク大きさ,安全性
1,1,1,1,1,1,1
1,1,1,1,1,1,2
1,1,1,1,1,1,3
1,1,1,1,1,2,1
1,1,1,1,1,2,2
1,1,1,1,1,2,3
1,1,1,1,1,3,1
1,1,1,1,1,3,2
1,1,1,1,1,3,3
1,1,1,1,2,1,1
1,1,1,1,2,1,2
1,1,1,1,2,1,3
1,1,1,1,2,2,1
1,1,1,1,2,2,2
1,1,1,1,2,2,3
1,1,1,1,2,3,1
1,1,1,1,2,3,2
1,1,1,1,2,3,3
1,1,1,1,3,1,1
1,1,1,1,3,1,2
1,1,1,1,3,1,3
1,1,1,1,3,2,1
1,1,1,1,3,2,2
1,1,1,1,3,2,3
1,1,1,1,3,3,1
1,1,1,1,3,3,2
1,1,1,1,3,3,3
1,1,1,2,1,1,1
1,1,1,2,1,1,2
1,1,1,2,1,1,3
1,1,1,2,1,2,1
1,1,1,2,1,2,2
1,1,1,2,1,2,3
1,1,1,2,1,3,1
1,1,1,2,1,3,2
1,1,1,2,1,3,3
1,1,1,2,2,1,1
1,1,1,2,2,1,2
1,1,1,2,2,1,3
1,1,1,2,2,2,1
1,1,1,2,2,2,2
1,1,1,2,2,2,3
1,1,1,2,2,3,1
1,1,1,2,2,3,2
1,1,1,2,2,3,3
1,1,1,2,3,1,1
1,1,1,2,3,1,2
1,1,1,2,3,1,3
1,1,1,2,3,2,1
1,1,1,2,3,2,2
1,1,1,2,3,2,3
1,1,1,2,3,3,1
1,1,1,2,3,3,2
1,1,1,2,3,3,3
1,1,1,3,1,1,1
1,1,1,3,1,1,2
1,1,1,3,1,1,3
1,1,1,3,1,2,1
1,1,1,3,1,2,2
1,1,1,3,1,2,3
1,1,1,3,1,3,1
1,1,1,3,1,3,2
1,1,1,3,1,3,3
1,1,1,3,2,1,1
1,1,1,3,2,1,2
1,1,1,3,2,1,3
1,1,1,3,2,2,1
1,1,1,3,2,2,2
1,1,1,3,2,2,3
1,1,1,3,2,3,1
1,1,1,3,2,3,2
