price,carat,depth,table,x,y,z,cut_numeric,color_numeric,clarity_numeric
18361,4.7,62.9,36,6.46,54.59,29.1,2,6,1
15875,4.11,60.6,35,4.46,52.67,28.01,3,1,1
17237,4.49,61.9,40,5.59,53.71,28.6,4,3,3
11934,3.6,62.3,40,3.56,51.69,27.32,4,0,2
8553,3.27,62.1,36,2.96,51.25,27.01,3,2,1
18340,4.78,63.2,37,6.85,55.04,29.35,2,4,4
5162,3.8,61.7,38,3.94,52.02,27.58,4,5,5
15561,4.3,60.9,38,4.99,53.11,28.29,4,6,2
15239,4.01,60.2,37,4.27,52.48,27.92,3,4,1
18364,4.67,61.9,38,6.25,54.38,29.01,4,1,2
18137,4.67,63.1,38,6.34,54.45,29.01,1,3,4
18102,4.74,62.3,41,6.56,54.69,29.19,2,6,6
14080,3.86,62,37,4.08,52.2,27.66,2,2,1
17248,4.51,61.6,38,5.65,53.77,28.65,4,5,3
17643,4.56,56.8,31,5.66,53.91,28.94,1,2,6
17851,4.47,61.8,35,5.54,53.74,28.6,3,2,1
17985,4.63,62,37,6.11,54.3,28.94,3,4,2
18030,4.69,61.8,36,6.32,54.52,29.08,3,4,5
16519,4.05,59.5,35,4.46,52.67,28.08,0,0,0
16913,4.42,60.4,33.8,5.36,53.47,28.54,1,3,4
16304,4.28,60.6,37,4.9,53.12,28.28,3,1,5
14637,3.86,61.8,41,3.96,52.15,27.62,3,4,1
11259,3.99,61.7,39,4.34,52.41,27.83,4,6,2
15138,4.17,62.4,38,4.71,52.82,28.02,4,6,2
17972,4.66,61.9,39,6.21,54.35,28.99,4,5,4
17996,4.68,61.3,39,6.31,54.43,29.07,4,2,5
14054,4,62.3,33,4.35,52.55,27.83,3,2,3
18034,4.65,62.8,40,6.25,54.34,28.96,2,5,3
15909,4.28,61.4,37,4.98,53.1,28.25,4,5,2
18361,4.7,61.9,39,6.4,54.52,29.1,2,3,2
11615,3.97,61.8,39,4.25,52.37,27.78,4,5,2
18291,4.71,62.2,41,6.45,54.55,29.12,4,1,6
7710,3.44,59.2,36,3.06,51.3,27.28,3,3,2
18226,4.75,59.4,34,6.61,54.75,29.34,1,5,6
18298,4.76,61.7,39,6.67,54.81,29.29,2,3,6
17485,4.49,63.8,39,5.62,53.83,28.55,1,4,2
18034,4.71,62.6,37,6.47,54.61,29.12,3,3,6
17777,4.56,61.1,37,5.77,53.95,28.77,3,4,2
17995,4.69,61.4,35,6.32,54.52,29.1,3,4,3
17773,4.61,60.4,36,5.98,54.15,28.93,3,4,4
13817,4,62.2,37,4.32,52.5,27.81,3,3,2
18218,4.71,61.4,35,6.45,54.56,29.15,3,4,3
17773,4.61,61.1,39,5.96,54.15,28.89,4,4,4
14184,4.04,62,35,4.45,52.65,27.91,3,6,2
9533,3.98,62.4,39.4,4.3,52.41,27.78,4,4,5
13572,4,63.6,38,4.47,52.6,27.8,1,5,2
18086,4.61,62,38,6,54.12,28.85,4,5,2
15288,4.19,59.8,39,4.61,52.72,28.12,2,3,3
10773,3.5,63.4,37,3.45,51.68,27.2,2,4,1
18125,4.6,62.4,39,5.99,54.13,28.83,2,3,2
18174,4.64,61.9,39,6.17,54.3,28.96,4,5,2
12517,3.51,63.6,37,3.56,51.65,27.21,1,0,1
11216,4.01,62.9,38,4.41,52.55,27.81,2,5,3
16248,4.31,62.7,40,5.11,53.23,28.26,2,5,2
8950,3.81,61.2,37,3.9,52.02,27.6,3,3,5
7761,3.99,61.5,36,4.33,52.44,27.84,3,5,6
9493,3.31,61.3,36,3.05,51.31,27.12,3,1,3
4603,2,59.8,37,1.3,49.53,26.18,3,3,1
8595,3.88,61.7,38,4.09,52.2,27.68,4,3,7
17411,4.42,61.7,35,5.37,53.51,28.48,3,4,2
15179,3.85,61.8,36,4,52.12,27.62,3,6,0
16915,4.36,61.5,40,5.15,53.27,28.35,4,2,2
16993,4.41,61.9,37,5.31,53.51,28.45,3,5,2
16060,4.1,64.4,38,4.63,52.81,27.87,0,2,1
17951,4.7,60.6,36,6.35,54.54,29.15,3,5,3
18016,4.61,61.8,39,6,54.12,28.86,4,2,4
12869,4,63.4,39,4.39,52.53,27.77,1,5,3
15319,4.31,61.6,36,5.03,53.14,28.27,3,4,6
17924,4.6,60.5,38,5.93,54.05,28.88,2,3,4
13366,3.89,60.7,39,4,52.2,27.72,4,2,2
9181,3.49,60.9,36,3.31,51.41,27.26,2,2,2
17123,4.48,60.9,38,5.55,53.65,28.62,4,5,4
16190,4.3,60,38,4.91,53.09,28.31,4,6,1
14539,4.1,63.2,37,4.67,52.75,27.94,1,3,4
17746,4.51,63.7,40,5.71,53.82,28.58,1,5,1
17036,4.5,61.9,40,5.63,53.77,28.63,4,6,3
15876,4.31,60.5,37,4.98,53.09,28.3,4,2,6
15556,4.11,63.2,38,4.65,52.75,27.93,1,4,1
18216,4.72,61.6,40,6.47,54.61,29.16,4,2,5
13477,3.99,61.5,36,4.29,52.5,27.85,3,3,3
17829,4.58,63.4,40,5.92,54.04,28.73,2,2,3
17977,4.7,62.7,38,6.39,54.58,29.08,4,3,5
18266,4.68,60.4,36,6.2,54.4,29.07,3,1,2
15673,4.26,61.8,37,4.89,53.07,28.19,3,5,3
15900,4.23,61.1,39,4.8,52.92,28.16,4,4,2
16977,4.47,60.4,40,5.47,53.58,28.6,4,2,6
17601,4.51,62.6,39,5.68,53.83,28.63,2,5,2
13946,3.9,60.1,32,4.06,52.2,27.78,1,6,1
17943,4.67,61.2,36,6.22,54.43,29.05,3,4,3
17928,4.62,62.3,41,6.05,54.19,28.87,4,1,7
18293,4.78,62.6,37,6.85,54.96,29.35,2,6,5
17770,4.62,58.8,36,5.91,54.1,28.97,3,4,3
14665,3.97,60.3,33,4.18,52.4,27.86,3,3,1
